date,tmax,tmin,prcp,snow
2015-11-16,44.06,41.18,0.0,0.0
2015-11-17,41.36,39.2,0.0,0.0
2015-11-18,42.44,40.28,0.0,0.0
2015-11-19,43.519999999999996,42.260000000000005,1.25,0.0
2015-11-20,43.519999999999996,40.28,0.0,0.0
2015-11-21,41.54,39.56,0.0,0.0
2015-11-22,41.9,39.56,0.03,0.0
2015-11-23,39.92,37.94,0.0,0.0
2015-11-24,40.28,37.76,0.0,0.0
2015-11-25,41.0,38.48,0.0,0.0
2015-11-26,42.8,39.38,0.0,0.0
2015-11-27,43.519999999999996,41.18,0.0,0.0
2015-11-28,43.519999999999996,40.1,0.02,0.0
2015-11-29,40.82,38.839999999999996,0.0,0.0
2015-11-30,40.46,37.94,0.0,0.0
2015-12-01,41.18,39.92,0.33,0.0
2015-12-02,42.260000000000005,40.28,0.14,0.0
2015-12-03,41.9,39.92,0.0,0.0
2015-12-04,41.18,39.56,0.0,0.0
2015-12-05,41.18,39.2,0.0,0.0
2015-12-06,41.54,39.02,0.0,0.0
2015-12-07,41.72,39.56,0.0,0.0
2015-12-08,40.82,39.38,0.0,0.0
2015-12-09,41.9,39.2,0.0,0.0
2015-12-10,42.8,41.18,0.0,0.0
2015-12-11,42.980000000000004,41.0,0.0,0.0
2015-12-12,43.879999999999995,41.9,0.0,0.0
2015-12-13,44.06,41.9,0.0,0.0
2015-12-14,44.06,41.54,0.33,0.0
2015-12-15,44.239999999999995,41.54,0.09,0.0
2015-12-16,41.54,40.28,0.04,0.0
2015-12-17,42.620000000000005,41.0,1.21,0.0
2015-12-18,42.260000000000005,38.839999999999996,0.0,0.0
2015-12-19,39.2,38.3,0.0,0.0
2015-12-20,39.74,38.12,0.0,0.0
2015-12-21,42.08,39.02,0.0,0.0
2015-12-22,43.16,41.54,0.19,0.0
2015-12-23,43.519999999999996,41.36,1.55,0.0
2015-12-24,44.96,43.34,0.01,0.0
2015-12-25,43.879999999999995,42.260000000000005,0.01,0.0
2015-12-26,42.620000000000005,40.46,0.0,0.0
2015-12-27,42.980000000000004,40.28,0.12,0.0
2015-12-28,40.28,38.12,0.03,0.0
2015-12-29,40.28,38.12,0.45,0.0
2015-12-30,40.64,38.839999999999996,0.19,0.0
2015-12-31,40.64,39.56,0.03,0.0
2016-01-01,39.56,38.12,0.0,0.0
2016-01-02,39.2,37.76,0.0,0.0
2016-01-03,40.1,38.3,0.0,0.0
2016-01-04,38.48,34.52,0.0,0.0
2016-01-05,37.22,33.98,0.0,0.0
