date,carbon_monoxide,ozone,pm25
2016-01-28,0.5003495,0.00486375,11.4
2016-01-29,,0.014009,
2016-01-30,,0.01400425,
2016-01-31,,0.0089825,12.0
2016-02-01,,0.01499325,
2016-02-02,,0.015112,
2016-02-03,,0.01472925,6.775
2016-02-04,,0.018727999999999998,
2016-02-05,,0.025828499999999997,
2016-02-06,,0.013608,8.525
2016-02-07,,0.01547925,
2016-02-08,,0.02587925,
2016-02-09,,0.009505,12.975
2016-02-10,0.21875,0.010895,
2016-02-11,0.1952085,0.0305305,
2016-02-12,0.22062500000000002,0.0214245,7.3
2016-02-13,0.2022915,0.02745825,
2016-02-14,0.20625,0.020175,
2016-02-15,0.41812499999999997,0.0043619999999999996,13.45
2016-02-16,0.368125,0.02203875,
2016-02-17,0.265,0.01781975,
2016-02-18,0.2285415,0.02422675,4.025
2016-02-19,0.315189,0.01905525,
2016-02-20,0.280625,0.0241585,
2016-02-21,0.30874999999999997,0.01978825,7.1
2016-02-22,0.2902085,0.018612749999999997,
2016-02-23,0.2957145,0.019420333333333335,
2016-02-24,0.34099999999999997,0.01893375,8.98
2016-02-25,0.24687499999999998,0.018072750000000002,
2016-02-26,0.1740475,0.0300385,
2016-02-27,0.214621,0.0244175,7.2
2016-02-28,0.2566665,0.02859925,
2016-02-29,0.231956,0.02383725,
2016-03-01,0.2375,0.026196499999999998,6.6
2016-03-02,0.206667,0.0284825,
2016-03-03,0.1989585,0.0238635,
2016-03-04,0.299129,0.020965750000000002,12.966666666666667
2016-03-05,0.22999999999999998,0.02247075,
2016-03-06,0.278542,0.02196975,
2016-03-07,0.31104149999999997,0.015196000000000001,16.966666666666665
2016-03-08,0.4485415,0.0129245,
2016-03-09,0.6812499999999999,0.017280999999999998,
2016-03-10,0.2739585,0.02835425,11.525
2016-03-11,0.175417,0.02324275,
2016-03-12,0.2898485,0.016622249999999998,
2016-03-13,0.2833335,0.02833025,5.325
2016-03-14,0.205,0.03134925,
2016-03-15,0.2966665,0.0160305,
2016-03-16,0.5762499999999999,0.016309499999999998,10.9
2016-03-17,0.290079,0.01975575,
2016-03-18,0.209375,0.02547675,
2016-03-19,0.1977085,0.0322515,4.0
2016-03-20,0.22291650000000002,0.03215275,
2016-03-21,0.20666649999999998,0.032464,
2016-03-22,0.2147915,0.03147825,6.675
2016-03-23,0.27479149999999997,0.027383499999999998,
2016-03-24,0.24375,0.030041500000000002,
2016-03-25,0.3525395,0.02265175,10.1
2016-03-26,0.22541650000000002,0.029852499999999997,
2016-03-27,0.238125,0.02958475,
2016-03-28,0.2472915,0.030483749999999997,4.725
2016-03-29,0.19375,0.03664825,
2016-03-30,0.247083,0.031097,
2016-03-31,0.2295835,0.03194225,8.825
2016-04-01,0.308958,0.0234205,
2016-04-02,0.2485985,0.02560625,
2016-04-03,0.18874999999999997,0.033895,3.45
2016-04-04,0.354792,0.0167665,
2016-04-05,0.2085415,0.03289775,
2016-04-06,0.24791649999999998,0.029696,5.25
2016-04-07,0.253125,0.02641725,
2016-04-08,0.1958335,0.0294285,
2016-04-09,0.246553,0.028814,5.575
2016-04-10,0.1989585,0.0325515,
2016-04-11,0.23791649999999998,0.02667025,
2016-04-12,0.25875000000000004,0.02301575,6.025
2016-04-13,0.2397915,0.023231500000000002,
2016-04-14,0.270625,0.0273025,
2016-04-15,0.265568,0.02618075,6.925
2016-04-16,0.260208,0.0319385,
2016-04-17,0.2529165,0.02913775,
2016-04-18,0.2997915,0.0377845,8.950000000000001
2016-04-19,0.20791700000000002,0.038913249999999996,
2016-04-20,0.21375,0.03812025,
2016-04-21,0.232706,0.0346585,8.375
2016-04-22,0.298542,0.03718975,
2016-04-23,0.213125,0.03440175,
2016-04-24,0.19625,0.03786525,5.65
2016-04-25,0.3039585,0.029234,
2016-04-26,0.27479200000000004,0.025447499999999998,
2016-04-27,0.23249999999999998,0.0196045,6.025
2016-04-28,0.2302085,0.03130575,
2016-04-29,0.213939,0.031616,
2016-04-30,0.2083335,0.03301775,5.533333333333334
2016-05-01,0.21020850000000002,0.0301395,
2016-05-02,0.32632550000000005,0.01038825,
2016-05-03,0.3420835,0.0143965,8.299999999999999
2016-05-04,0.2547915,0.0203675,
2016-05-05,0.2039585,0.02161975,
2016-05-06,0.239375,0.018113999999999998,4.15
2016-05-07,0.2545835,0.014054,
2016-05-08,0.3091665,0.02179575,
2016-05-09,0.2316665,0.03348725,8.75
2016-05-10,0.2022915,0.02401875,
2016-05-11,0.2702085,0.021774500000000002,
2016-05-12,0.35,0.04115825,13.975
2016-05-13,0.38887700000000003,0.01333575,
2016-05-14,0.24104199999999998,0.036035,
2016-05-15,0.12187500000000001,0.02547125,2.8
2016-05-16,0.1304165,0.031725,
2016-05-17,0.224375,0.0223955,
2016-05-18,0.20875,0.02841325,5.675
2016-05-19,0.2902655,0.0236105,
2016-05-20,0.206875,0.035272750000000005,
2016-05-21,0.294375,0.028906,7.275
2016-05-22,0.2075,0.03500975,
2016-05-23,0.26375,0.03642225,
2016-05-24,0.2335415,0.02547125,8.75
2016-05-25,0.272292,0.051432000000000005,
2016-05-26,0.2641965,0.04228175,
2016-05-27,0.3034615,0.03652775,19.45
2016-05-28,0.2935415,0.043230500000000005,
2016-05-29,0.2225,0.02296575,
2016-05-30,0.21,0.020096,6.625
2016-05-31,0.221875,0.03195275,
2016-06-01,0.23875000000000002,0.0386825,
2016-06-02,0.19666650000000002,0.031842,7.966666666666666
2016-06-03,0.27791699999999997,0.0123505,
2016-06-04,0.2839775,0.0334245,
2016-06-05,0.2108335,0.024077,5.8
2016-06-06,0.1929165,0.03825625,
2016-06-07,0.18625,0.03994825,
2016-06-08,0.12875,0.02425225,4.125
2016-06-09,0.1135415,0.0357605,
2016-06-10,0.127841,0.030599249999999998,
2016-06-11,0.242083,0.044809249999999995,12.55
2016-06-12,0.154167,0.03396275,
2016-06-13,0.1141665,0.0213825,
2016-06-14,0.1247915,0.0268045,3.875
2016-06-15,0.2107955,0.0384525,
2016-06-16,0.325417,0.022049,
2016-06-17,0.25687499999999996,0.02702075,8.9
2016-06-18,0.216439,0.03794775,
2016-06-19,0.22875,0.041654,
2016-06-20,0.27645850000000005,0.037182,10.9
2016-06-21,0.19624999999999998,0.0403535,
2016-06-22,0.22583350000000002,0.029857750000000002,
2016-06-23,0.3252085,0.0284415,12.9
2016-06-24,0.2535415,0.04729,
2016-06-25,0.19636350000000002,0.04482025,
2016-06-26,0.2004165,0.0394425,10.033333333333333
2016-06-27,0.19125,0.033507,
2016-06-28,0.190625,0.032381,
2016-06-29,0.1889585,0.035708250000000004,8.299999999999999
2016-06-30,0.15628799999999998,0.03895125,
2016-07-01,0.1977085,0.036927,
2016-07-02,0.1464585,0.027811,6.575
2016-07-03,0.173542,0.0334685,
2016-07-04,0.2004165,0.03694375,
2016-07-05,0.1989585,0.029719000000000002,6.175
2016-07-06,0.22999999999999998,0.04504825,
2016-07-07,0.30512700000000004,0.03304875,
2016-07-08,0.255625,0.033947500000000005,11.566666666666668
2016-07-09,0.169167,0.01711,
2016-07-10,0.1597915,0.020042,
2016-07-11,0.135,0.0253745,3.75
2016-07-12,0.1935415,0.03489575,
2016-07-13,0.19652150000000002,0.029349,
2016-07-14,0.2652085,0.026994999999999998,11.325
2016-07-15,0.258542,0.0446255,
2016-07-16,0.2039585,0.045350249999999995,
2016-07-17,0.1947915,0.04640875,10.35
2016-07-18,0.213125,0.03726,
2016-07-19,0.16520849999999998,0.027234750000000002,
2016-07-20,0.175208,0.028635,7.0249999999999995
2016-07-21,0.19760850000000002,0.048507999999999996,
2016-07-22,0.2022915,0.05521875,
2016-07-23,0.16791650000000002,0.03965325,8.675
2016-07-24,0.211042,0.035776249999999996,
2016-07-25,0.213125,0.03988075,
2016-07-26,0.1820835,0.02893425,7.25
2016-07-27,0.2158335,0.036068249999999996,
2016-07-28,0.237879,0.047536999999999996,
2016-07-29,0.230208,0.04874125,13.133333333333333
2016-07-30,0.290625,0.038455249999999996,
2016-07-31,0.2025,0.03153375,
2016-08-01,0.1664585,0.028052,7.625
2016-08-02,0.16520800000000002,0.02283325,
2016-08-03,0.19375,0.0207255,
2016-08-04,0.235625,0.017891999999999998,7.5
2016-08-05,0.19875,0.026418,
2016-08-06,0.1954545,0.030761249999999997,
2016-08-07,0.1525,0.026779,5.75
2016-08-08,0.2079165,0.02856175,
2016-08-09,0.25375000000000003,0.03324875,
2016-08-10,0.1897915,0.022862,9.0
2016-08-11,0.186818,0.0390095,
2016-08-12,0.17791649999999998,0.03025925,
2016-08-13,0.203125,0.03741475,11.1
2016-08-14,0.1714585,0.0296925,
2016-08-15,0.195625,0.0305165,
2016-08-16,0.2466665,0.0288505,10.0
2016-08-17,0.134167,0.02481375,
2016-08-18,0.2195835,0.028535,
2016-08-19,0.23833349999999998,0.03608475,9.575
2016-08-20,0.2822345,0.03460425,
2016-08-21,0.1708335,0.03562025,
2016-08-22,0.119167,0.0218445,3.425
2016-08-23,0.1577085,0.0326175,
2016-08-24,0.2264585,0.04338625,
2016-08-25,0.22062500000000002,0.03299425,10.6
2016-08-26,0.2,0.0289775,
2016-08-27,0.2022915,0.033807250000000004,
2016-08-28,0.2066665,0.0312415,5.825
2016-08-29,0.1883335,0.0289435,
2016-08-30,0.169659,0.0307455,
2016-08-31,0.2035415,0.04385425,9.966666666666667
2016-09-01,0.2439585,0.0247225,
2016-09-02,0.1472915,0.02097775,
2016-09-03,0.1845835,0.023414249999999998,5.966666666666666
2016-09-04,0.154167,0.02723375,
2016-09-05,0.13875,0.02724675,
2016-09-06,0.11125,0.0268645,4.4
2016-09-07,0.146875,0.02911775,
2016-09-08,0.30104149999999996,0.03333575,
2016-09-09,0.2058335,0.028990250000000002,11.4
2016-09-10,0.2754165,0.03669025,
2016-09-11,0.1435415,0.0261925,
2016-09-12,0.160417,0.023021,4.025
2016-09-13,0.190417,0.0305455,
2016-09-14,0.18937500000000002,0.036493750000000005,
2016-09-15,0.13806800000000002,0.02533975,3.55
2016-09-16,0.15833350000000002,0.0249065,
2016-09-17,0.1766665,0.02388225,
2016-09-18,0.181875,0.0196725,7.675
2016-09-19,0.2554165,0.008886749999999999,
2016-09-20,0.2577085,0.01672,
2016-09-21,0.250625,0.02572675,8.174999999999999
2016-09-22,0.2679165,0.0252765,
2016-09-23,0.3239585,0.0338605,
2016-09-24,0.13322499999999998,0.0242935,5.0
2016-09-25,0.155625,0.0240815,
2016-09-26,0.19708350000000002,0.0301355,
2016-09-27,0.18625,0.018644749999999998,6.9
2016-09-28,0.27708350000000004,0.0197145,
2016-09-29,0.155625,0.0234415,
2016-09-30,0.166458,0.01594375,4.925
2016-10-01,0.1694565,0.01788225,
2016-10-02,0.22729149999999998,0.00878325,
2016-10-03,0.29625,0.01630875,10.9
2016-10-04,0.215417,0.020369,
